"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 21, 2020","1,763.50","1,740.38","1,763.50","1,738.13","0.56K","-0.39%"
"Aug 20, 2020","1,770.35","1,754.50","1,780.49","1,736.25","0.01K","0.00%"
"Aug 19, 2020","1,770.35","1,754.50","1,754.75","1,736.25","-","2.21%"
"Aug 18, 2020","1,732.00","1,718.75","1,741.16","1,718.75","-","0.00%"
"Aug 17, 2020","1,732.00","1,710.75","1,723.22","1,710.75","-","0.23%"
"Aug 14, 2020","1,728.00","1,728.00","1,728.00","1,710.43","-","-1.45%"
"Aug 13, 2020","1,753.35","1,753.85","1,757.60","1,724.15","0.01K","0.00%"
"Aug 12, 2020","1,753.35","1,753.85","1,755.60","1,753.85","-","-0.03%"
"Aug 11, 2020","1,753.85","1,754.50","1,754.50","1,749.68","-","-0.04%"
"Aug 10, 2020","1,754.50","1,739.55","1,750.93","1,739.55","-","0.43%"
"Aug 07, 2020","1,747.00","1,747.00","1,747.00","1,734.75","0.03K","0.60%"
"Aug 06, 2020","1,736.50","1,736.50","1,746.69","1,736.50","-","0.00%"
"Aug 05, 2020","1,736.50","1,731.90","1,742.75","1,729.00","-","-0.17%"
"Aug 04, 2020","1,739.50","1,721.50","1,734.62","1,721.50","-","1.05%"
"Aug 03, 2020","1,721.50","1,715.50","1,720.75","1,683.50","-","1.71%"
"Jul 31, 2020","1,692.50","1,681.50","1,696.25","1,678.50","-","-0.28%"
"Jul 30, 2020","1,697.25","1,699.00","1,699.50","1,687.50","-","0.00%"
"Jul 29, 2020","1,697.25","1,700.25","1,701.75","1,697.25","-","0.88%"
"Jul 28, 2020","1,682.50","1,699.13","1,701.99","1,682.50","0.05K","0.00%"
"Jul 27, 2020","1,682.50","1,686.10","1,686.35","1,676.60","-","0.24%"
"Jul 24, 2020","1,678.50","1,675.25","1,678.50","1,668.64","-","0.46%"
"Jul 23, 2020","1,670.75","1,686.50","1,688.00","1,670.75","-","0.00%"
"Jul 22, 2020","1,670.75","1,668.75","1,676.00","1,666.39","-","1.66%"
"Jul 21, 2020","1,643.50","1,675.22","1,678.50","1,640.22","-","0.00%"
"Jul 20, 2020","1,643.50","1,643.25","1,644.00","1,638.08","-","-0.47%"
"Jul 17, 2020","1,651.25","1,644.50","1,651.25","1,640.75","-","-0.87%"
"Jul 16, 2020","1,665.75","1,648.00","1,665.75","1,647.55","-","0.00%"
"Jul 15, 2020","1,665.75","1,644.75","1,655.00","1,644.00","-","-0.39%"
"Jul 14, 2020","1,672.25","1,656.50","1,656.50","1,649.44","-","0.00%"
"Jul 13, 2020","1,672.25","1,660.75","1,676.00","1,656.00","-","2.09%"
"Jul 10, 2020","1,638.00","1,658.88","1,662.25","1,638.00","-","0.09%"
"Jul 09, 2020","1,636.50","1,623.00","1,651.59","1,620.25","-","0.00%"
"Jul 08, 2020","1,636.50","1,604.25","1,637.50","1,604.25","-","1.98%"
"Jul 07, 2020","1,604.75","1,604.75","1,604.75","1,600.33","-","0.00%"
"Jul 06, 2020","1,604.75","1,605.00","1,606.50","1,586.00","-","0.72%"
"Jul 03, 2020","1,593.25","1,585.75","1,593.25","1,584.25","-","-0.05%"
"Jul 02, 2020","1,594.00","1,594.00","1,598.25","1,594.00","-","0.00%"
"Jul 01, 2020","1,594.00","1,598.00","1,598.00","1,586.75","-","0.02%"
"Jun 30, 2020","1,593.75","1,591.25","1,596.71","1,583.00","-","0.68%"
"Jun 29, 2020","1,583.00","1,589.25","1,589.25","1,577.25","-","0.36%"
